Z1[L],C1[M L^-3],Z2[L],C2[M L^-3],Z3[L],C3[M L^-3],Z4[L],C4[M L^-3],Z5[L],C5[M L^-3]
80.275,8069.318,65.788,3714.002,61.596,2772.558,81.526,3098.633,84.709,2870.797
80.439,8223.502,65.841,3744.322,61.692,2763.272,81.651,3112.644,84.987,2882.999
80.629,8998.388,65.962,3834.562,61.767,2766.26,81.768,3136.621,85.234,2876.761
80.824,15429.859,66.072,3862.733,61.828,2766.42,81.943,3164.373,85.395,2871.009
80.985,20056.313,66.215,3911.851,61.953,2776.488,82.153,3191.227,85.667,2893.977
81.173,20238.143,66.281,3927.673,62.07,2779.729,82.396,3203.614,85.933,2902.762
81.362,20190.816,66.433,3984.813,62.221,2778.755,82.555,3229.15,86.173,2903.604
81.542,20157.521,66.565,4066.881,62.295,2795.435,82.748,3261.761,86.418,2915.854
81.664,20175.77,66.699,4125.849,62.33,2793.566,82.868,3273.4,86.68,2940.815
81.797,19901.125,66.815,4155.548,62.387,2792.022,83.094,3339.216,86.858,2948.192
81.864,19880.164,66.893,4145.155,62.508,2795.477,83.291,3343.512,87.08,2957.508
82.046,19752.107,66.98,4272.742,62.565,2795.865,83.471,3403.194,87.343,2992.738
82.192,19349.551,67.132,4387.56,62.551,2794.738,83.697,3461.549,87.555,2998.984
82.371,19458.951,67.256,4422.938,62.562,2794.267,83.868,3504.118,87.759,3031.563
82.519,19032.191,67.344,4473.491,62.581,2793.867,84.063,3558.728,87.969,3041.579
82.669,18764.748,67.462,4494.68,62.645,2795.615,84.226,3599.126,88.192,3094.345
82.811,18613.857,67.537,4527.875,62.691,2791.683,84.353,3649.116,88.42,3103.819
82.958,18519.918,67.643,4574.041,62.744,2788.106,84.557,3709.64,88.653,3129.314
83.092,18442.242,67.707,4587.321,62.757,2787.947,84.775,3774.828,88.86,3144.14
83.238,18277.781,67.77,4592.719,62.77,2787.664,84.954,3874.763,89.08,3187.908
83.39,17616.557,67.84,4594.925,62.782,2787.635,85.082,3912.981,89.303,3226.835
83.44,17469.324,67.937,4638.316,62.805,2788.161,85.254,3976.834,89.508,3261.824
83.68,17227.654,68.031,4680.157,62.848,2786.805,85.382,4038.228,89.694,3271.591
83.782,17062.611,68.114,4688.306,62.836,2788.287,85.572,4132.408,89.91,3298.836
84.11,16535.766,68.187,4696.204,62.839,2788.304,85.693,4199.856,90.172,3348.669
84.45,16545.201,68.31,4754.1,62.845,2788.97,85.85,4305.104,90.357,3391.23
